GeneLabel,Occurrence,Index,Length,Hydro,Hydro_i,MW,pKa1,pKa2,A_Glu,CW,GC
sdh4,294,0.431152181152181,120,46.225,2.9,16366.19,2.21591666666667,9.40333333333333,136.27,3016.5,0.708333333333333
sdh3,264,0.420282369146006,144,52.0486111111111,3,19300.62,2.2,9.37180555555555,163.88,3964,0.694444444444444
rpl10,176,0.403896103896104,193,27.5233160621762,2.46113989637306,25907.56,2.18414507772021,9.32310880829015,203.35,4061.5,0.590673575129534
nad10,43,0.337662337662338,182,26.2417582417582,2.46703296703297,24185.63,2.2039010989011,9.42346153846153,188.4,3980.5,0.994505494505495
rpl31,65,0.3,71,23.5070422535211,2.38028169014085,9518.04,2.17183098591549,9.32549295774648,76.56,1528.5,0.591549295774648
sdh2,98,0.312337662337662,239,20.7405857740586,2.30962343096234,32116.38,2.17464435146443,9.41845188284518,246.95,4904.5,0.845188284518828
rpl20,58,0.39623507805326,115,26.4869565217391,2.39130434782609,15395.42,2.18304347826087,9.27521739130434,120.02,2377.5,0.939130434782609
secy,66,0.416892808683853,410,48.4853658536585,2.89024390243902,56850.4600000001,2.17953658536586,9.33953658536585,483.809999999999,11380,0.441463414634146
atp3,14,0.270039100684262,281,23.7473309608541,2.39857651245552,36240.39,2.19850533807829,9.34028469750889,266.27,5173,0.814946619217082
nad8,24,0.282323232323232,162,22.5493827160494,2.32716049382716,21563.09,2.17314814814815,9.45802469135802,162.56,3240.5,0.962962962962963
rpl19,11,0.266919191919192,113,20.787610619469,2.26548672566372,14956.12,2.20353982300885,9.29469026548673,114.04,2033,0.707964601769911
rpl11,26,0.32355816226784,145,23.4275862068966,2.37241379310345,18741.59,2.18613793103448,9.40724137931034,145.05,2793.5,0.731034482758621
cox11,13,0.278409090909091,182,27.0494505494506,2.51098901098901,23882.65,2.16362637362637,9.42373626373626,182.37,3732,0.857142857142857
ccma,11,0.28008658008658,222,32.0045045045045,2.53153153153153,29483.77,2.19936936936937,9.31238738738738,232.33,4725.5,0.626126126126126
tata,27,0.429985337243402,64,25.125,2.40625,8375.53,2.20390625,9.3509375,63.91,1251,0.625
rpl32,11,0.324810606060606,62,21.9838709677419,2.2741935483871,8529.92,2.17016129032258,9.32822580645161,68.61,1367,0.709677419354839
